Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:IMATA
,Departamento:AREQUIPA,Provincia:CAYLLOMA,Distrito:SAN,ANTONIODECHUCA
,Latitud:15°50'33.56'',Longitud:71°5'26.22'',Altitud:4475,msnm.
,Tipo:EMA,-Meteorológica,Código:47E3834A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/01/01,00:00,0.3,0.1,100,291,1.7
2023/01/01,01:00,0.7,0.2,100,268,2.0
2023/01/01,02:00,0.8,0.3,100,275,1.6
2023/01/01,03:00,0.8,0.3,100,217,1.2
2023/01/01,04:00,1.0,0.2,100,1,S/D
2023/01/01,05:00,1.3,0.2,100,1,S/D
2023/01/01,06:00,1.6,0.2,100,186,0.9
2023/01/01,07:00,2.4,0.5,100,144,2.5
2023/01/01,08:00,4.0,0.4,100,80,5.0
2023/01/01,09:00,5.7,0.0,90,48,4.1
2023/01/01,10:00,7.8,0.0,81,75,5.1
2023/01/01,11:00,9.8,0.0,69,83,4.0
2023/01/01,12:00,10.8,0.0,61,70,2.8
2023/01/01,13:00,10.0,0.0,64,349,6.1
2023/01/01,14:00,8.6,0.0,73,354,6.5
2023/01/01,15:00,6.3,0.4,91,263,9.0
2023/01/01,16:00,5.3,0.1,98,211,8.7
2023/01/01,17:00,3.8,0.9,99,262,6.3
2023/01/01,18:00,1.7,3.7,100,264,4.5
2023/01/01,19:00,1.2,1.1,100,291,5.1
2023/01/01,20:00,1.2,0.0,100,277,6.0
2023/01/01,21:00,1.8,0.0,100,256,4.4
2023/01/01,22:00,2.1,0.0,100,247,4.1
2023/01/01,23:00,2.1,0.1,100,258,4.5
2023/01/02,00:00,1.9,0.0,100,272,4.0
2023/01/02,01:00,1.9,0.0,100,288,3.4
2023/01/02,02:00,1.9,0.0,100,300,2.3
2023/01/02,03:00,1.7,0.0,100,273,2.6
2023/01/02,04:00,1.5,0.0,100,297,1.7
2023/01/02,05:00,1.7,0.0,100,173,1.6
2023/01/02,06:00,2.1,0.0,100,90,0.9
2023/01/02,07:00,3.0,0.0,100,103,2.0
2023/01/02,08:00,5.1,0.0,97,102,2.7
2023/01/02,09:00,6.1,0.0,88,88,3.7
2023/01/02,10:00,8.6,0.0,79,77,4.0
2023/01/02,11:00,9.5,0.0,70,37,3.7
2023/01/02,12:00,10.8,0.0,59,350,3.4
2023/01/02,13:00,12.3,0.0,51,45,2.1
2023/01/02,14:00,9.2,0.2,71,187,10.1
2023/01/02,15:00,6.1,0.2,92,241,4.8
2023/01/02,16:00,5.3,0.0,99,292,6.0
2023/01/02,17:00,4.2,0.0,100,253,5.7
2023/01/02,18:00,4.1,0.0,100,235,5.1
2023/01/02,19:00,3.6,0.0,100,253,6.0
2023/01/02,20:00,3.3,0.0,100,257,5.6
2023/01/02,21:00,2.7,0.0,100,259,5.8
2023/01/02,22:00,2.7,0.0,100,269,2.3
2023/01/02,23:00,2.7,0.0,100,269,2.6
2023/01/03,00:00,2.4,0.0,100,289,1.7
2023/01/03,01:00,2.4,0.0,100,240,0.9
2023/01/03,02:00,2.4,0.0,100,243,1.1
2023/01/03,03:00,2.4,0.0,100,293,0.6
2023/01/03,04:00,2.3,0.0,100,287,1.6
2023/01/03,05:00,1.9,0.0,100,272,2.8
2023/01/03,06:00,1.6,0.0,100,217,0.7
2023/01/03,07:00,3.1,0.0,100,329,0.8
2023/01/03,08:00,5.0,0.0,91,297,2.0
2023/01/03,09:00,7.4,0.0,75,267,1.8
2023/01/03,10:00,9.2,0.0,66,298,2.2
2023/01/03,11:00,9.3,0.0,68,273,1.7
2023/01/03,12:00,11.6,0.0,51,208,1.8
2023/01/03,13:00,13.0,0.0,43,268,1.4
2023/01/03,14:00,12.6,0.0,49,251,9.6
2023/01/03,15:00,11.7,0.0,64,251,11.9
2023/01/03,16:00,9.3,0.0,72,253,12.7
2023/01/03,17:00,5.1,0.0,86,261,10.4
2023/01/03,18:00,3.4,0.0,93,255,9.5
2023/01/03,19:00,2.4,0.0,97,257,6.1
2023/01/03,20:00,1.8,0.0,100,273,5.1
2023/01/03,21:00,1.4,0.0,100,254,4.4
2023/01/03,22:00,0.9,0.0,100,297,4.4
2023/01/03,23:00,0.3,0.0,100,274,3.6
2023/01/04,00:00,-0.2,0.0,100,266,2.5
2023/01/04,01:00,-0.9,0.0,100,264,1.4
2023/01/04,02:00,-1.3,0.0,100,290,3.7
2023/01/04,03:00,-1.2,0.0,100,256,2.4
2023/01/04,04:00,-1.7,0.0,100,349,1.0
2023/01/04,05:00,-1.8,0.0,100,262,1.9
2023/01/04,06:00,-2.0,0.0,100,251,0.8
2023/01/04,07:00,-1.5,0.0,100,312,1.4
