Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:IMATA
,Departamento:AREQUIPA,Provincia:CAYLLOMA,Distrito:SAN,ANTONIODECHUCA
,Latitud:15°50'33.56'',Longitud:71°5'26.22'',Altitud:4475,msnm.
,Tipo:EMA,-Meteorológica,Código:47E3834A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/04/01,00:00,3.0,0.0,100,87,9.0
2023/04/01,01:00,2.7,0.4,100,76,6.4
2023/04/01,02:00,2.9,0.0,100,81,4.8
2023/04/01,03:00,2.1,0.0,100,94,3.0
2023/04/01,04:00,1.4,0.0,100,81,4.9
2023/04/01,05:00,1.8,0.0,100,83,4.2
2023/04/01,06:00,0.8,0.0,100,34,2.3
2023/04/01,07:00,1.3,0.1,100,85,4.1
2023/04/01,08:00,3.7,0.0,98,88,7.1
2023/04/01,09:00,5.1,0.0,91,94,6.6
2023/04/01,10:00,6.8,0.0,80,84,7.1
2023/04/01,11:00,7.9,0.0,71,66,6.0
2023/04/01,12:00,8.7,0.0,66,80,5.1
2023/04/01,13:00,9.5,0.0,63,109,5.0
2023/04/01,14:00,10.1,0.0,62,66,5.5
2023/04/01,15:00,10.7,0.0,59,73,4.6
2023/04/01,16:00,10.3,0.0,59,80,5.1
2023/04/01,17:00,10.0,0.0,61,80,5.5
2023/04/01,18:00,7.6,0.0,79,86,3.7
2023/04/01,19:00,6.1,0.0,93,288,6.2
2023/04/01,20:00,4.0,0.0,99,285,4.9
2023/04/01,21:00,3.2,0.0,100,294,1.7
2023/04/01,22:00,3.8,0.0,100,119,1.7
2023/04/01,23:00,3.1,0.0,100,328,1.0
2023/04/02,00:00,2.5,0.0,100,86,1.6
2023/04/02,01:00,1.7,0.0,100,99,2.3
2023/04/02,02:00,1.5,0.0,100,102,2.1
2023/04/02,03:00,1.2,0.0,100,152,0.6
2023/04/02,04:00,1.4,0.0,100,297,1.7
2023/04/02,05:00,0.9,0.0,100,236,1.2
2023/04/02,06:00,1.2,0.0,100,116,1.4
2023/04/02,07:00,1.4,0.0,100,7,1.3
2023/04/02,08:00,3.7,0.0,97,118,0.9
2023/04/02,09:00,5.9,0.0,79,48,0.9
2023/04/02,10:00,8.0,0.0,72,87,1.7
2023/04/02,11:00,9.5,0.0,66,50,2.5
2023/04/02,12:00,10.6,0.0,59,75,1.9
2023/04/02,13:00,11.8,0.0,52,52,2.6
2023/04/02,14:00,11.4,0.0,53,38,1.3
2023/04/02,15:00,11.9,0.0,52,219,13.4
2023/04/02,16:00,7.8,0.0,84,228,8.7
2023/04/02,17:00,7.3,0.0,91,227,1.4
2023/04/02,18:00,3.0,0.4,94,324,4.9
2023/04/02,19:00,3.2,0.3,98,353,3.9
2023/04/02,20:00,2.8,0.3,100,5,4.1
2023/04/02,21:00,2.8,0.1,100,203,3.2
2023/04/02,22:00,3.5,0.0,100,180,5.0
2023/04/02,23:00,2.2,0.0,100,313,3.2
2023/04/03,00:00,1.9,0.0,100,258,1.6
2023/04/03,01:00,1.6,0.0,100,294,1.1
2023/04/03,02:00,0.9,0.0,100,296,2.9
2023/04/03,03:00,-0.2,0.0,100,166,1.5
2023/04/03,04:00,-1.1,0.0,100,151,1.9
2023/04/03,05:00,-1.3,0.0,100,103,0.9
2023/04/03,06:00,-1.6,0.0,100,112,1.6
2023/04/03,07:00,-1.6,0.0,100,175,2.5
2023/04/03,08:00,0.6,0.1,100,183,1.4
2023/04/03,09:00,3.6,0.0,100,306,1.2
2023/04/03,10:00,7.1,0.0,83,151,1.8
2023/04/03,11:00,9.8,0.0,65,28,1.8
2023/04/03,12:00,11.1,0.0,52,33,1.3
2023/04/03,13:00,12.3,0.0,42,292,2.5
2023/04/03,14:00,11.7,0.0,50,179,10.1
2023/04/03,15:00,7.4,0.0,78,203,10.6
2023/04/03,16:00,8.0,0.0,75,211,4.8
2023/04/03,17:00,7.1,0.0,79,76,7.9
2023/04/03,18:00,4.8,0.0,89,42,7.2
2023/04/03,19:00,3.6,0.0,99,44,2.7
2023/04/03,20:00,3.2,0.0,100,132,2.6
2023/04/03,21:00,3.3,0.0,100,193,2.8
2023/04/03,22:00,2.9,0.0,100,127,1.1
2023/04/03,23:00,2.1,0.0,100,92,1.4
2023/04/04,00:00,1.5,0.0,100,109,1.8
2023/04/04,01:00,1.5,0.0,100,205,2.8
2023/04/04,02:00,1.3,0.0,100,304,1.7
2023/04/04,03:00,1.0,0.0,100,190,1.7
2023/04/04,04:00,0.4,0.0,100,212,1.7
2023/04/04,05:00,-0.2,0.0,100,1,1.8
2023/04/04,06:00,-0.1,0.0,100,86,2.5
2023/04/04,07:00,0.8,0.0,100,93,1.3
2023/04/04,08:00,2.1,0.0,100,185,1.8
2023/04/04,09:00,3.5,0.0,100,77,0.9
2023/04/04,10:00,5.9,0.0,85,182,1.4
2023/04/04,11:00,8.1,0.0,65,205,2.2
2023/04/04,12:00,9.7,0.0,53,250,1.8
2023/04/04,13:00,10.3,0.0,48,239,3.2
2023/04/04,14:00,10.1,0.0,57,205,5.6
2023/04/04,15:00,8.6,0.2,71,257,8.4
2023/04/04,16:00,9.0,0.0,71,244,9.5
2023/04/04,17:00,7.1,0.0,78,243,10.5
2023/04/04,18:00,4.3,0.0,90,257,8.4
2023/04/04,19:00,2.6,0.0,95,288,1.7
2023/04/04,20:00,1.6,0.0,99,266,4.4
2023/04/04,21:00,1.0,0.0,100,264,3.7
2023/04/04,22:00,0.3,0.0,100,306,2.1
2023/04/04,23:00,-0.1,0.0,100,312,1.9
2023/04/05,00:00,0.1,0.0,100,348,0.9
2023/04/05,01:00,0.1,0.0,100,303,0.9
2023/04/05,02:00,-0.5,0.0,100,288,2.5
2023/04/05,03:00,-1.0,0.0,100,194,0.8
2023/04/05,04:00,-1.7,0.0,100,110,1.4
2023/04/05,05:00,-2.0,0.0,100,195,0.9
2023/04/05,06:00,-2.4,0.0,100,185,1.5
2023/04/05,07:00,-1.7,0.0,100,169,0.8
2023/04/05,08:00,0.1,0.0,98,50,0.9
2023/04/05,09:00,2.4,0.1,77,143,1.7
2023/04/05,10:00,4.4,0.1,66,310,2.1
2023/04/05,11:00,6.0,0.0,59,223,1.5
2023/04/05,12:00,7.1,0.0,52,311,0.2
2023/04/05,13:00,8.6,0.0,49,247,3.8
2023/04/05,14:00,8.3,0.0,49,223,4.7
2023/04/05,15:00,9.1,0.0,50,252,6.2
2023/04/05,16:00,9.0,0.0,56,248,7.9
2023/04/05,17:00,6.4,0.0,76,246,9.1
2023/04/05,18:00,3.0,0.0,94,248,9.0
2023/04/05,19:00,1.2,0.0,100,256,7.7
2023/04/05,20:00,0.6,0.0,100,264,6.9
2023/04/05,21:00,-0.1,0.0,100,270,5.1
2023/04/05,22:00,-0.9,0.0,100,297,2.8
2023/04/05,23:00,-1.4,0.0,100,290,3.3
2023/04/06,00:00,-1.9,0.0,100,284,3.0
2023/04/06,01:00,-1.9,0.0,99,293,2.0
2023/04/06,02:00,-2.4,0.0,100,208,2.1
2023/04/06,03:00,-2.7,0.0,100,188,0.7
2023/04/06,04:00,-2.9,0.0,100,193,0.6
2023/04/06,05:00,-3.3,0.0,100,1,S/D
2023/04/06,06:00,-3.6,0.0,100,193,0.9
2023/04/06,07:00,-3.1,0.0,100,180,1.5
2023/04/06,08:00,-1.3,0.1,98,80,2.3
2023/04/06,09:00,1.3,0.0,90,67,3.2
2023/04/06,10:00,4.3,0.0,81,84,2.0
2023/04/06,11:00,7.9,0.0,55,46,1.8
2023/04/06,12:00,9.2,0.0,43,344,1.8
2023/04/06,13:00,10.2,0.0,41,16,2.9
2023/04/06,14:00,11.0,0.0,41,132,2.4
2023/04/06,15:00,11.3,0.0,43,252,9.4
2023/04/06,16:00,8.7,0.0,61,253,8.4
2023/04/06,17:00,6.1,0.0,77,255,10.1
2023/04/06,18:00,3.3,0.0,92,267,7.8
2023/04/06,19:00,1.8,0.0,100,280,5.2
2023/04/06,20:00,1.2,0.0,100,274,6.3
2023/04/06,21:00,0.6,0.0,100,252,2.2
2023/04/06,22:00,0.4,0.0,100,85,0.7
2023/04/06,23:00,-0.5,0.0,100,208,1.7
2023/04/07,00:00,-0.3,0.0,100,289,1.7
2023/04/07,01:00,-0.5,0.0,100,270,0.6
2023/04/07,02:00,-1.4,0.0,100,276,2.6
2023/04/07,03:00,-2.6,0.0,100,207,1.3
2023/04/07,04:00,-3.2,0.0,100,85,0.5
2023/04/07,05:00,-3.9,0.0,100,98,1.4
2023/04/07,06:00,-4.0,0.0,100,170,2.0
2023/04/07,07:00,-3.3,0.0,100,177,1.3
2023/04/07,08:00,-1.3,0.0,100,75,1.9
2023/04/07,09:00,1.1,0.1,100,55,3.4
2023/04/07,10:00,5.1,0.0,83,41,2.8
2023/04/07,11:00,8.0,0.0,66,92,2.1
2023/04/07,12:00,9.2,0.0,54,69,2.9
2023/04/07,13:00,9.9,0.0,47,8,2.6
2023/04/07,14:00,10.9,0.0,41,221,8.3
2023/04/07,15:00,10.5,0.0,45,214,3.8
2023/04/07,16:00,10.0,0.0,49,244,7.1
2023/04/07,17:00,6.1,0.3,71,334,4.4
2023/04/07,18:00,1.3,0.8,96,332,3.9
2023/04/07,19:00,0.4,0.6,100,52,3.2
2023/04/07,20:00,0.8,1.1,100,355,3.7
2023/04/07,21:00,1.4,0.4,100,100,4.2
2023/04/07,22:00,1.4,0.3,100,56,3.3
2023/04/07,23:00,1.3,0.4,100,182,2.1
2023/04/08,00:00,1.7,0.1,100,22,2.0
2023/04/08,01:00,1.7,0.4,100,51,1.5
2023/04/08,02:00,1.1,0.0,100,55,0.7
2023/04/08,03:00,0.4,0.0,100,134,1.1
2023/04/08,04:00,0.3,0.0,100,196,1.6
2023/04/08,05:00,0.1,0.0,100,14,0.9
2023/04/08,06:00,-0.3,0.0,100,73,2.6
2023/04/08,07:00,0.4,0.0,100,68,1.5
2023/04/08,08:00,2.3,0.6,98,78,3.3
2023/04/08,09:00,4.2,0.3,87,44,0.6
2023/04/08,10:00,6.8,0.0,76,73,1.5
2023/04/08,11:00,7.9,0.0,68,60,4.5
2023/04/08,12:00,8.9,0.0,61,52,7.0
2023/04/08,13:00,5.4,0.6,84,70,3.3
2023/04/08,14:00,5.9,0.0,83,71,4.9
2023/04/08,15:00,5.6,0.0,83,64,0.8
2023/04/08,16:00,4.8,0.1,90,159,4.0
2023/04/08,17:00,4.7,0.0,89,269,7.8
2023/04/08,18:00,2.7,0.1,100,260,6.8
2023/04/08,19:00,1.7,0.5,100,180,6.3
2023/04/08,20:00,2.1,0.0,100,212,4.4
2023/04/08,21:00,1.8,0.1,100,231,3.1
2023/04/08,22:00,0.2,0.0,100,245,0.5
2023/04/08,23:00,0.4,0.0,100,46,1.3
2023/04/09,00:00,0.8,0.0,100,65,2.9
2023/04/09,01:00,0.4,0.1,100,271,2.6
2023/04/09,02:00,-0.1,0.0,100,134,2.7
2023/04/09,03:00,0.0,0.0,100,40,1.4
2023/04/09,04:00,0.3,0.0,100,48,1.5
2023/04/09,05:00,0.5,0.1,100,55,3.0
2023/04/09,06:00,0.6,0.0,100,83,2.9
2023/04/09,07:00,0.7,0.1,100,81,5.0
2023/04/09,08:00,1.8,0.8,100,61,3.3
2023/04/09,09:00,3.2,0.5,97,27,2.9
2023/04/09,10:00,5.0,0.1,83,40,3.1
2023/04/09,11:00,6.8,0.0,76,48,2.4
2023/04/09,12:00,8.5,0.0,65,15,1.8
2023/04/09,13:00,9.6,0.0,54,101,2.2
2023/04/09,14:00,7.8,0.1,67,221,9.4
2023/04/09,15:00,8.4,0.0,71,254,6.1
2023/04/09,16:00,8.2,0.0,67,244,8.6
2023/04/09,17:00,6.2,0.0,81,269,7.2
2023/04/09,18:00,3.5,0.0,96,335,5.3
