Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:IMATA
,Departamento:AREQUIPA,Provincia:CAYLLOMA,Distrito:SAN,ANTONIODECHUCA
,Latitud:15°50'33.56'',Longitud:71°5'26.22'',Altitud:4475,msnm.
,Tipo:EMA,-Meteorológica,Código:47E3834A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/06/01,00:00,-3.4,0.0,37,127,1.8
2023/06/01,01:00,-4.4,0.0,39,129,2.7
2023/06/01,02:00,-6.1,0.0,49,154,2.4
2023/06/01,03:00,-6.4,0.0,49,146,2.7
2023/06/01,04:00,-8.0,0.0,55,159,3.3
2023/06/01,05:00,-8.2,0.0,52,161,3.3
2023/06/01,06:00,-9.0,0.0,59,152,3.0
2023/06/01,07:00,-8.2,0.0,60,125,2.2
2023/06/01,08:00,-3.7,0.0,55,151,2.2
2023/06/01,09:00,3.5,0.0,38,90,1.2
2023/06/01,10:00,8.7,0.0,24,84,3.1
2023/06/01,11:00,11.2,0.0,16,94,6.4
2023/06/01,12:00,12.0,0.0,14,92,6.4
2023/06/01,13:00,12.5,0.0,14,67,5.8
2023/06/01,14:00,12.8,0.0,13,86,6.8
2023/06/01,15:00,12.6,0.0,13,72,7.2
2023/06/01,16:00,11.8,0.0,14,64,7.9
2023/06/01,17:00,10.1,0.0,16,68,6.9
2023/06/01,18:00,4.8,0.0,23,79,6.2
2023/06/01,19:00,1.6,0.0,26,64,5.3
2023/06/01,20:00,0.3,0.0,32,49,4.2
2023/06/01,21:00,0.6,0.0,28,177,1.5
2023/06/01,22:00,-0.9,0.0,29,176,2.9
2023/06/01,23:00,-1.4,0.0,31,167,1.1
2023/06/02,00:00,-3.4,0.0,35,127,3.0
2023/06/02,01:00,-4.9,0.0,45,165,2.3
2023/06/02,02:00,-5.8,0.0,46,150,2.1
2023/06/02,03:00,-5.5,0.0,44,108,1.7
2023/06/02,04:00,-8.3,0.0,55,98,2.5
2023/06/02,05:00,-9.1,0.0,61,161,3.1
2023/06/02,06:00,-8.9,0.0,57,144,3.0
2023/06/02,07:00,-8.7,0.0,55,149,2.7
2023/06/02,08:00,-4.2,0.0,54,88,2.2
2023/06/02,09:00,3.4,0.0,37,45,1.5
