Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:IMATA
,Departamento:AREQUIPA,Provincia:CAYLLOMA,Distrito:SAN,ANTONIODECHUCA
,Latitud:15°50'33.56'',Longitud:71°5'26.22'',Altitud:4475,msnm.
,Tipo:EMA,-Meteorológica,Código:47E3834A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/03/01,00:00,2.9,0.0,100,303,1.9
2023/03/01,01:00,2.8,0.0,100,215,0.9
2023/03/01,02:00,1.3,0.0,100,185,1.6
2023/03/01,03:00,1.0,0.0,100,189,1.4
2023/03/01,04:00,0.1,0.0,100,157,1.6
2023/03/01,05:00,-0.9,0.0,100,129,2.1
2023/03/01,06:00,-0.7,0.0,100,157,1.7
2023/03/01,07:00,0.3,0.2,100,180,2.3
2023/03/01,08:00,4.4,0.0,97,51,2.7
2023/03/01,09:00,7.7,0.0,75,62,3.7
2023/03/01,10:00,10.3,0.0,61,47,2.2
2023/03/01,11:00,12.1,0.0,52,41,1.7
2023/03/01,12:00,14.4,0.0,38,66,6.0
2023/03/01,13:00,15.2,0.0,31,66,4.9
2023/03/01,14:00,15.9,0.0,30,72,4.3
2023/03/01,15:00,13.4,0.0,44,219,13.6
2023/03/01,16:00,10.6,0.0,62,176,16.0
2023/03/01,17:00,6.6,0.0,82,171,10.5
2023/03/01,18:00,5.1,0.0,83,168,12.0
2023/03/01,19:00,4.6,0.0,86,142,5.5
2023/03/01,20:00,3.9,0.0,90,76,1.6
2023/03/01,21:00,3.8,0.0,85,256,0.6
2023/03/01,22:00,2.8,0.0,90,138,0.9
2023/03/01,23:00,1.8,0.0,94,56,1.2
2023/03/02,00:00,0.2,0.0,99,130,2.8
2023/03/02,01:00,-0.4,0.0,100,176,1.9
2023/03/02,02:00,-0.4,0.0,100,138,1.6
2023/03/02,03:00,-1.4,0.0,100,170,2.3
2023/03/02,04:00,-1.8,0.0,100,165,1.9
2023/03/02,05:00,-2.1,0.0,100,165,2.0
2023/03/02,06:00,-2.0,0.0,100,166,1.8
2023/03/02,07:00,-0.6,0.0,99,94,1.8
2023/03/02,08:00,3.8,0.0,90,128,1.0
2023/03/02,09:00,7.7,0.0,68,181,1.4
2023/03/02,10:00,11.6,0.0,42,179,1.1
2023/03/02,11:00,12.8,0.0,30,210,0.9
2023/03/02,12:00,14.4,0.0,24,137,3.4
2023/03/02,13:00,15.2,0.0,21,180,3.1
2023/03/02,14:00,15.7,0.0,19,208,0.7
2023/03/02,15:00,15.4,0.0,27,248,8.2
2023/03/02,16:00,14.8,0.0,35,218,11.7
2023/03/02,17:00,11.6,0.0,42,249,9.5
2023/03/02,18:00,8.7,0.0,52,281,7.6
2023/03/02,19:00,6.8,0.0,66,262,5.8
2023/03/02,20:00,5.0,0.0,71,311,1.6
2023/03/02,21:00,4.3,0.0,71,290,2.2
2023/03/02,22:00,3.1,0.0,76,209,2.7
2023/03/02,23:00,2.3,0.0,82,167,1.6
2023/03/03,00:00,1.5,0.0,87,16,0.8
2023/03/03,01:00,0.4,0.0,91,174,2.3
2023/03/03,02:00,-1.5,0.0,99,294,1.4
2023/03/03,03:00,-2.0,0.0,100,128,1.3
2023/03/03,04:00,-2.2,0.0,96,166,2.7
2023/03/03,05:00,-2.9,0.0,97,152,1.9
2023/03/03,06:00,-2.4,0.0,93,157,2.6
2023/03/03,07:00,-2.4,0.0,93,136,1.4
2023/03/03,08:00,1.1,0.0,92,118,1.3
2023/03/03,09:00,7.2,0.0,59,55,1.2
2023/03/03,10:00,10.6,0.0,29,120,1.8
2023/03/03,11:00,12.0,0.0,28,346,1.7
2023/03/03,12:00,13.4,0.0,25,142,2.8
2023/03/03,13:00,14.2,0.0,23,33,1.5
2023/03/03,14:00,15.5,0.0,22,189,5.4
2023/03/03,15:00,15.8,0.0,21,233,8.4
2023/03/03,16:00,14.7,0.0,29,229,11.2
2023/03/03,17:00,11.7,0.0,39,180,13.1
2023/03/03,18:00,10.5,0.0,41,220,8.0
2023/03/03,19:00,6.9,0.0,59,301,6.4
2023/03/03,20:00,4.9,0.0,75,310,4.3
2023/03/03,21:00,4.3,0.0,80,315,0.6
2023/03/03,22:00,4.3,0.0,71,280,3.6
2023/03/03,23:00,3.8,0.0,71,322,1.1
2023/03/04,00:00,2.9,0.0,80,193,2.0
2023/03/04,01:00,1.5,0.0,91,196,2.0
2023/03/04,02:00,1.2,0.0,87,184,2.1
2023/03/04,03:00,0.4,0.0,85,169,1.2
2023/03/04,04:00,-0.6,0.0,86,173,1.6
2023/03/04,05:00,-1.1,0.0,89,164,2.1
2023/03/04,06:00,-2.0,0.0,93,184,2.4
2023/03/04,07:00,0.1,0.0,86,106,2.0
2023/03/04,08:00,4.9,0.0,79,54,3.5
2023/03/04,09:00,8.9,0.0,51,38,2.4
2023/03/04,10:00,11.4,0.0,43,18,2.4
2023/03/04,11:00,13.7,0.0,37,79,4.3
2023/03/04,12:00,15.3,0.0,32,50,5.6
2023/03/04,13:00,15.9,0.0,28,103,5.3
2023/03/04,14:00,16.5,0.0,24,87,6.5
2023/03/04,15:00,14.4,0.0,28,68,5.4
2023/03/04,16:00,12.3,0.0,41,245,9.0
2023/03/04,17:00,9.3,0.0,56,260,9.2
2023/03/04,18:00,7.2,0.0,66,251,6.6
2023/03/04,19:00,6.2,0.0,68,241,4.4
2023/03/04,20:00,6.0,0.0,70,254,1.8
2023/03/04,21:00,5.5,0.0,76,318,2.2
2023/03/04,22:00,4.6,0.0,81,306,1.4
2023/03/04,23:00,4.3,0.0,82,137,0.6
2023/03/05,00:00,3.0,0.0,90,203,2.6
2023/03/05,01:00,1.8,0.0,98,172,1.2
2023/03/05,02:00,1.8,0.0,99,148,0.9
2023/03/05,03:00,0.9,0.0,99,69,1.6
2023/03/05,04:00,-0.4,0.0,100,82,3.4
2023/03/05,05:00,0.0,0.0,100,96,2.9
2023/03/05,06:00,0.8,0.0,100,64,3.8
2023/03/05,07:00,2.1,0.0,100,32,1.5
2023/03/05,08:00,5.5,0.0,94,100,6.0
2023/03/05,09:00,8.7,0.0,75,85,5.3
2023/03/05,10:00,9.2,0.0,69,63,2.7
2023/03/05,11:00,11.7,0.0,56,87,5.9
2023/03/05,12:00,13.9,0.0,43,78,6.8
2023/03/05,13:00,15.3,0.0,37,87,8.9
2023/03/05,14:00,15.3,0.0,36,88,10.7
2023/03/05,15:00,14.6,0.0,39,92,9.4
2023/03/05,16:00,12.4,0.0,44,81,6.6
2023/03/05,17:00,10.3,0.0,59,286,8.5
2023/03/05,18:00,6.3,0.0,91,243,4.8
2023/03/05,19:00,5.2,0.0,94,288,5.6
2023/03/05,20:00,4.0,0.0,100,291,7.3
2023/03/05,21:00,3.4,0.0,100,302,5.3
2023/03/05,22:00,2.9,0.0,100,279,3.5
2023/03/05,23:00,3.0,0.0,100,261,2.2
2023/03/06,00:00,3.8,0.0,100,269,1.9
2023/03/06,01:00,3.2,0.0,100,282,0.6
2023/03/06,02:00,2.5,0.0,100,171,1.1
2023/03/06,03:00,1.7,0.0,100,188,0.9
2023/03/06,04:00,1.5,0.0,100,308,1.5
2023/03/06,05:00,0.9,0.0,100,187,2.4
2023/03/06,06:00,-0.6,0.0,100,12,0.8
2023/03/06,07:00,-0.3,0.0,100,41,0.9
2023/03/06,08:00,4.3,0.0,93,71,0.8
2023/03/06,09:00,7.4,0.0,71,74,3.8
2023/03/06,10:00,9.8,0.0,44,84,2.0
2023/03/06,11:00,12.2,0.0,33,99,4.0
2023/03/06,12:00,13.0,0.0,33,58,3.5
2023/03/06,13:00,14.1,0.0,33,92,3.8
2023/03/06,14:00,15.1,0.0,32,105,2.9
2023/03/06,15:00,15.5,0.0,29,58,3.5
2023/03/06,16:00,13.2,0.0,42,277,11.6
2023/03/06,17:00,8.2,0.0,82,256,8.7
2023/03/06,18:00,7.1,0.0,87,254,7.9
2023/03/06,19:00,6.1,0.0,93,223,6.8
2023/03/06,20:00,5.8,0.0,94,271,7.5
2023/03/06,21:00,5.2,0.0,100,266,6.9
2023/03/06,22:00,4.9,0.1,99,262,5.3
2023/03/06,23:00,4.3,0.1,100,257,3.4
2023/03/07,00:00,3.8,0.0,100,289,3.3
2023/03/07,01:00,2.9,0.0,100,47,0.5
2023/03/07,02:00,2.7,0.0,100,261,2.3
2023/03/07,03:00,2.6,0.0,100,227,1.7
2023/03/07,04:00,2.5,0.0,100,155,1.4
2023/03/07,05:00,2.4,0.0,100,132,1.6
2023/03/07,06:00,2.2,0.0,100,148,2.0
2023/03/07,07:00,2.4,0.0,100,26,1.3
2023/03/07,08:00,3.3,0.0,100,64,2.0
2023/03/07,09:00,5.5,0.0,96,75,2.6
2023/03/07,10:00,9.2,0.0,76,48,3.8
2023/03/07,11:00,11.7,0.0,52,25,1.9
2023/03/07,12:00,13.4,0.0,46,314,2.4
2023/03/07,13:00,14.3,0.0,39,246,7.8
2023/03/07,14:00,8.9,0.3,64,312,10.7
2023/03/07,15:00,2.8,2.7,98,306,6.3
2023/03/07,16:00,4.0,3.8,97,254,5.3
2023/03/07,17:00,3.0,1.9,99,194,5.3
2023/03/07,18:00,2.1,1.0,100,194,5.3
2023/03/07,19:00,2.7,0.6,100,163,2.3
2023/03/07,20:00,S/D,S/D,S/D,S/D,S/D
2023/03/07,21:00,1.7,0.4,100,141,5.5
2023/03/07,22:00,2.3,0.3,100,110,5.4
2023/03/07,23:00,3.1,0.1,100,2,0.8
2023/03/08,00:00,3.1,0.0,100,39,3.6
2023/03/08,01:00,3.1,0.0,100,18,3.5
2023/03/08,02:00,2.7,0.0,100,29,3.9
2023/03/08,03:00,2.4,0.0,100,64,1.9
2023/03/08,04:00,1.7,0.1,100,105,3.0
2023/03/08,05:00,1.6,0.0,100,127,2.1
2023/03/08,06:00,1.1,0.0,100,153,1.7
2023/03/08,07:00,2.5,0.0,100,13,0.8
2023/03/08,08:00,4.7,0.0,93,88,1.0
2023/03/08,09:00,6.6,0.0,85,48,4.7
2023/03/08,10:00,8.4,0.0,76,43,2.9
2023/03/08,11:00,10.4,0.0,67,71,1.4
2023/03/08,12:00,12.7,0.0,55,216,5.1
2023/03/08,13:00,10.4,0.0,64,124,5.1
2023/03/08,14:00,8.4,0.2,74,246,9.6
2023/03/08,15:00,5.5,0.4,98,246,6.7
2023/03/08,16:00,5.5,0.1,99,36,5.0
2023/03/08,17:00,4.1,0.9,100,140,4.7
2023/03/08,18:00,2.1,2.4,100,148,4.1
2023/03/08,19:00,1.9,1.3,100,64,2.2
2023/03/08,20:00,2.2,0.1,100,83,0.6
2023/03/08,21:00,1.9,0.0,100,206,1.1
2023/03/08,22:00,2.0,0.0,100,158,0.7
2023/03/08,23:00,1.2,0.0,100,181,0.9
2023/03/09,00:00,0.7,0.1,100,168,1.7
2023/03/09,01:00,0.1,0.0,100,166,1.3
2023/03/09,02:00,-0.4,0.0,100,186,2.2
2023/03/09,03:00,-1.0,0.0,100,23,1.3
2023/03/09,04:00,-2.0,0.0,100,199,0.8
2023/03/09,05:00,-1.4,0.0,100,219,0.7
2023/03/09,06:00,-0.7,0.0,100,77,1.8
2023/03/09,07:00,-1.1,0.0,100,83,1.2
2023/03/09,08:00,-0.5,0.0,100,130,1.4
2023/03/09,09:00,2.0,0.2,100,139,1.9
2023/03/09,10:00,6.2,0.0,88,87,1.9
2023/03/09,11:00,9.2,0.0,68,104,1.9
2023/03/09,12:00,10.5,0.0,64,74,4.9
2023/03/09,13:00,11.1,0.0,62,137,1.6
2023/03/09,14:00,11.6,0.0,57,140,1.5
2023/03/09,15:00,13.0,0.0,48,252,8.1
2023/03/09,16:00,10.5,0.0,72,261,10.6
2023/03/09,17:00,5.1,4.2,95,269,6.4
2023/03/09,18:00,3.5,2.2,100,269,6.8
2023/03/09,19:00,3.6,1.1,100,253,5.6
2023/03/09,20:00,3.6,0.5,100,277,2.8
2023/03/09,21:00,3.7,0.8,100,104,6.0
2023/03/09,22:00,3.9,0.0,98,113,0.9
2023/03/09,23:00,3.9,0.0,96,33,1.1
2023/03/10,00:00,3.4,0.0,99,52,2.4
2023/03/10,01:00,3.1,0.0,100,78,2.9
2023/03/10,02:00,3.3,0.1,100,118,1.9
2023/03/10,03:00,2.8,0.0,100,107,1.2
2023/03/10,04:00,3.1,0.0,100,93,3.2
2023/03/10,05:00,3.5,0.0,100,120,4.3
