Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 01/01  01:00:00,1.4124999999999999,3.639532471942813,0.9343621869724457,12.400050411143269,0.6422728856864918,0.0,0.0,1174454.9970127156,0.0 
 01/01  02:00:00,1.9,3.890029507032084,1.5175153455096753,12.40000000731293,1.2442085280068216,0.0,0.0,1151954.4666679118,0.0 
 01/01  03:00:00,1.7125,3.8144464542918419,1.333389667373538,12.400000000000049,1.0688065133217204,0.0,0.0,1185772.7851018485,0.0 
 01/01  04:00:00,1.0375,3.2708715556434084,0.634911837635132,12.400000000000066,0.37260807829946515,0.0,0.0,1235807.0394544856,0.0 
 01/01  05:00:00,0.7625,2.9348244273472554,0.1372110118821871,12.400000000000138,-0.11447150976582749,0.0,0.0,1302787.3901294496,0.0 
 01/01  06:00:00,0.55,8.42038544382577,5.831498486512972,12.399832721284039,6.282660633645029,0.0,0.0,1170680.6579806265,0.0 
 01/01  07:00:00,2.4625000000000005,19.627893830285339,16.232265187619754,12.399275206608778,18.080879396486659,0.0,0.0,682507.1563401048,0.0 
 01/01  08:00:00,5.575,27.546244175318188,25.255630750742463,12.399040843417574,27.807750298832365,0.0,0.0,263157.8707665698,0.0 
 01/01  09:00:00,8.2625,34.32841417086289,34.01146396756727,12.398700353837548,36.78622148707558,0.0,0.0,0.0,0.0 
 01/01  10:00:00,10.200000000000001,37.437039151663068,39.618437008546369,12.397750668089073,41.517886489398858,0.0,0.0,0.0,0.0 
 01/01  11:00:00,11.3,36.983242821765077,40.75486912485691,12.401144237717873,41.47519478192262,0.0,0.0,0.0,0.0 
 01/01  12:00:00,12.1625,34.54539780900519,38.89371608291284,12.404337414256834,38.90352987044135,0.0,0.0,0.0,0.0 
 01/01  13:00:00,12.749999999999999,27.705249005804498,30.376142800682698,12.401480189132187,30.19405814176165,0.0,0.0,0.0,0.0 
 01/01  14:00:00,13.087499999999999,18.341975109889146,19.62774429574045,12.401441431465507,19.424837914264736,0.0,0.0,57853.060268330664,0.0 
 01/01  15:00:00,9.1375,13.703221042350308,14.399433085721574,12.400239078311321,14.199012989369722,0.0,0.0,416471.8847662199,0.0 
 01/01  16:00:00,5.887500000000001,10.74008529584098,9.59226993435762,12.399986053747965,9.366538455502408,0.0,0.0,815220.0566077912,0.0 
 01/01  17:00:00,4.025,8.491375758558505,7.695307226089921,12.400216772760367,7.438895167695409,0.0,0.0,737272.6268012172,0.0 
 01/01  18:00:00,2.3875,5.470161819216309,4.32359303430243,12.400334462376055,4.027784161304922,0.0,0.0,874134.0163125479,0.0 
 01/01  19:00:00,2.4000000000000005,4.401539868918039,2.660681607033587,12.400198070333362,2.3475245204565295,0.0,0.0,984766.7881848039,0.0 
 01/01  20:00:00,2.575,4.548343384232462,2.615480458307581,12.400040858772006,2.3030436387460484,0.0,0.0,1015624.0858784154,0.0 
 01/01  21:00:00,2.375,4.246578112516799,2.2761821357352804,12.400000654353084,1.9604083967432529,0.0,0.0,1016290.4326555118,0.0 
 01/01  22:00:00,1.8625000000000003,3.7811677604445617,1.6949606379533644,12.400000000000116,1.374149777362018,0.0,0.0,1034655.1370818605,0.0 
 01/01  23:00:00,1.4125,3.457651555556716,1.1051911352368913,12.400000000000162,0.7846394888512405,0.0,0.0,1078802.2787710636,0.0 
 01/01  24:00:00,0.8625,3.2256288656962188,0.7429858599634075,12.400000000000125,0.4336903499081032,0.0,0.0,1122431.6993017374,0.0 
 01/02  01:00:00,0.35,2.990030125191608,0.3484316396927518,12.400000000000052,0.052029332350209889,0.0,0.0,1177370.9630928455,0.0 
 01/02  02:00:00,0.1375,2.960400496135942,0.10578922887361675,12.400000000000084,-0.17700707846705913,0.0,0.0,1238948.3563722929,0.0 
 01/02  03:00:00,0.0375,2.7269844316450264,-0.12168468550831224,12.40000000000002,-0.3936363095160078,0.0,0.0,1267993.8841190595,0.0 
 01/02  04:00:00,-0.125,2.523786232577345,-0.45416643967865147,12.400000000000177,-0.7174345672133307,0.0,0.0,1321296.2477573893,0.0 
 01/02  05:00:00,-0.7625000000000001,2.2169458373545067,-0.8969583053877561,12.400000000000125,-1.1486828431509222,0.0,0.0,1384092.9762868446,0.0 
 01/02  06:00:00,-0.975,7.815785440174958,5.140269062632832,12.39973999966637,5.622361974548882,0.0,0.0,1221987.2044658224,0.0 
 01/02  07:00:00,0.16250000000000004,17.993623977836266,14.280585371832086,12.39907552875579,16.063199541519589,0.0,0.0,810301.7210007859,0.0 
 01/02  08:00:00,2.9250000000000004,24.641841832359817,21.069557905354299,12.398657209960375,23.525583489365887,0.0,0.0,448822.3642733316,0.0 
 01/02  09:00:00,6.324999999999999,31.81099546118664,30.217488057191298,12.398614102864622,32.93787510076363,0.0,0.0,49521.29444401817,0.0 
 01/02  10:00:00,9.0375,35.80556572776378,36.913892299604118,12.397643750627509,38.94576885011908,0.0,0.0,0.0,0.0 
 01/02  11:00:00,10.5875,36.6533941113065,40.241044060187189,12.399918594423579,41.00469455132806,0.0,0.0,0.0,0.0 
