Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,1.4124999999999999,0.8360276185712872,0.5549121467688374,6.649499395209874,0.24835525079413008 
 01/01  02:00:00,1.9,1.3803703086654036,1.1383904418295186,6.673279011636037,0.8500829765164699 
 01/01  03:00:00,1.7125,1.2140829953020789,0.9383535545718367,6.546347190845015,0.6618924398020494 
 01/01  04:00:00,1.0375,0.5623901590618399,0.19704427476326803,6.280104161485846,-0.0758679480213231 
 01/01  05:00:00,0.7625,0.11088533535688956,-0.32603030533752566,6.040137798210166,-0.5883428892561275 
 01/01  06:00:00,0.55,6.773772516070867,5.266143688188823,6.205588145523299,5.811216769550622 
 01/01  07:00:00,2.4625000000000005,20.844420412074358,16.060867687618495,8.38560907163351,17.947011719652886 
 01/01  08:00:00,5.575,31.40580521685677,25.341798253820536,10.152809092491392,27.952160622199899 
 01/01  09:00:00,8.2625,40.329039422772627,34.19822531014123,13.628643873747322,37.06253535502704 
 01/01  10:00:00,10.200000000000001,44.72850595292624,40.070425406490077,15.604059821341215,42.07515447340654 
 01/01  11:00:00,11.3,44.307360075128,41.35351840862326,16.704340212624918,42.13680079478247 
 01/01  12:00:00,12.1625,40.987128224757579,39.50656672791499,16.91874874674078,39.52815644515145 
 01/01  13:00:00,12.749999999999999,32.08274608598006,30.891152337182534,15.750634794777936,30.693261164109257 
 01/01  14:00:00,13.087499999999999,19.995322253667938,19.882527955650347,13.5951245072069,19.692842394636935 
 01/01  15:00:00,9.1375,14.210058981948896,14.494372814181773,11.91392910071777,14.29801668790915 
 01/01  16:00:00,5.887500000000001,9.464802181262919,9.570359267081335,10.438525310752535,9.345774997732633 
 01/01  17:00:00,4.025,7.380885972441271,7.583361308219143,9.511763076460971,7.326306019913096 
 01/01  18:00:00,2.3875,3.8497504363228867,4.165869339436508,9.013575429838415,3.8682635652544277 
 01/01  19:00:00,2.4000000000000005,2.2449080024018426,2.439718886167808,7.741019972602438,2.117671558796856 
 01/01  20:00:00,2.575,2.199096704426765,2.3607609754834497,7.5636271459291539,2.03521032852903 
 01/01  21:00:00,2.375,1.906642119922509,1.9770732241057847,7.390861490042049,1.6477097636324472 
