		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
17/12/20	6:30 p	5.4	5.4	5.3	90	3.9	0.4	SSE	0.40	1.3	SSE	5.4	5.4	5.4	1.4	1036.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.135	0.000	13.3	61	5.9	12.6	11.25	1.2496	0.00	199	1	58.2	15
17/12/20	6:45 p	5.4	5.5	5.4	90	3.9	0.4	SSE	0.40	1.8	SSE	5.4	5.4	5.4	1.4	1036.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.134	0.000	13.2	61	5.9	12.6	11.25	1.2502	0.00	351	1	100.0	15
17/12/20	7:00 p	5.6	5.6	5.4	89	3.9	0.4	SSE	0.40	1.3	SSE	5.6	5.6	5.6	1.6	1036.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.133	0.000	12.9	61	5.5	12.2	11.25	1.2524	0.00	351	1	100.0	15
17/12/20	7:15 p	5.8	5.8	5.6	89	4.1	1.3	W	1.21	2.7	W	5.1	5.8	5.1	1.1	1037.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.131	0.000	12.7	61	5.3	12.0	11.25	1.2539	0.00	351	1	100.0	15
17/12/20	7:30 p	6.0	6.0	5.7	86	3.8	1.8	NW	1.61	3.6	NW	4.8	5.9	4.7	0.7	1037.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	12.8	61	5.4	12.1	11.25	1.2534	0.00	352	1	100.0	15
17/12/20	7:45 p	6.1	6.1	6.0	85	3.7	1.8	NW	1.61	2.7	NW	4.8	6.0	4.8	0.8	1037.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	12.8	61	5.4	12.1	11.25	1.2537	0.00	351	1	100.0	15
17/12/20	8:00 p	5.9	6.1	5.9	83	3.2	0.9	NNE	0.80	3.1	NNE	5.9	5.8	5.8	1.8	1037.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	12.7	60	5.1	11.9	11.05	1.2545	0.00	351	1	100.0	15
17/12/20	8:15 p	5.7	5.9	5.7	83	3.1	0.4	NNW	0.40	1.8	NNW	5.7	5.6	5.6	1.6	1037.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.131	0.000	12.5	60	4.9	11.8	11.06	1.2555	0.00	351	1	100.0	15
17/12/20	8:30 p	5.6	5.7	5.6	83	2.9	0.4	NNW	0.40	1.3	NNW	5.6	5.5	5.5	1.5	1037.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.133	0.000	12.2	60	4.6	11.5	11.07	1.2575	0.00	352	1	100.0	15
17/12/20	8:45 p	5.1	5.7	5.1	83	2.4	0.4	NNW	0.40	1.3	NNW	5.1	4.9	4.9	0.9	1037.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.138	0.000	11.7	61	4.4	11.1	11.29	1.2598	0.00	351	1	100.0	15
17/12/20	9:00 p	4.8	5.1	4.7	85	2.5	0.9	NNW	0.80	1.8	NNW	4.7	4.7	4.6	0.6	1037.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.141	0.000	11.4	61	4.1	10.8	11.30	1.2613	0.00	351	1	100.0	15
17/12/20	9:15 p	4.7	4.8	4.7	85	2.4	0.4	N	0.40	1.8	N	4.7	4.6	4.6	0.6	1037.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.142	0.000	11.2	62	4.2	10.7	11.55	1.2621	0.00	351	1	100.0	15
17/12/20	9:30 p	4.9	5.0	4.7	85	2.6	0.4	N	0.40	1.3	N	4.9	4.8	4.8	0.8	1038.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.139	0.000	11.0	62	4.0	10.5	11.55	1.2632	0.00	351	1	100.0	15
