"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486631, LBL: Pared Sur)","Temp, °C (SEN S/N: 20486631, LBL: Psred Oeste)","Temp, °C (SEN S/N: 20486631, LBL: Pared Oeste exterior)","Temp, °C (SEN S/N: 20486631, LBL: Ventana)"
12/07/22 11:00:00,13.440,11.596,11.713,16.664
12/07/22 11:15:00,13.440,11.686,11.167,16.378
12/07/22 11:30:00,13.463,11.762,11.001,16.321
12/07/22 11:45:00,13.518,11.871,12.086,16.915
12/07/22 12:00:00,13.619,12.046,12.621,17.715
12/07/22 12:15:00,13.705,12.230,12.681,18.120
12/07/22 12:30:00,13.733,12.355,12.158,17.793
12/07/22 12:45:00,13.747,12.441,12.134,17.419
12/07/22 13:00:00,13.756,12.527,11.746,17.098
12/07/22 13:15:00,13.754,12.595,11.397,16.710
12/07/22 13:30:00,13.760,12.659,11.376,16.610
12/07/22 13:45:00,13.780,12.725,11.686,16.734
12/07/22 14:00:00,13.826,12.820,12.270,17.121
12/07/22 14:15:00,13.853,12.886,12.149,17.009
12/07/22 14:30:00,13.882,12.945,12.429,16.952
12/07/22 14:45:00,13.898,12.995,12.205,16.749
12/07/22 15:00:00,13.892,13.020,11.669,16.171
12/07/22 15:15:00,13.883,13.037,11.677,15.940
12/07/22 15:30:00,13.880,13.058,11.833,16.056
12/07/22 15:45:00,13.886,13.103,11.707,15.956
12/07/22 16:00:00,13.915,13.150,13.886,17.228
12/07/22 16:15:00,13.943,13.212,13.796,17.842
12/07/22 16:30:00,13.994,13.326,12.687,19.427
12/07/22 16:45:00,14.020,13.394,11.877,19.322
12/07/22 17:00:00,14.006,13.398,11.438,17.651
12/07/22 17:15:00,14.053,13.445,11.087,16.580
12/07/22 17:30:00,14.108,13.517,10.783,16.023
12/07/22 17:45:00,14.147,13.568,10.485,15.622
12/07/22 18:00:00,14.125,13.565,10.188,15.090
12/07/22 18:15:00,14.087,13.503,9.995,14.629
12/07/22 18:30:00,14.084,13.469,9.898,14.711
12/07/22 18:45:00,14.081,13.428,9.935,14.797
12/07/22 19:00:00,14.077,13.382,9.947,14.907
12/07/22 19:15:00,14.072,13.332,9.904,14.991
12/07/22 19:30:00,14.065,13.273,9.846,15.003
12/07/22 19:45:00,14.053,13.213,9.772,15.010
12/07/22 20:00:00,14.036,13.147,9.423,14.915
12/07/22 20:15:00,14.012,13.073,9.098,14.723
12/07/22 20:30:00,13.982,12.993,8.762,14.459
12/07/22 20:45:00,13.948,12.907,8.539,14.232
12/07/22 21:00:00,13.910,12.814,8.367,14.068
12/07/22 21:15:00,13.873,12.717,8.185,13.903
12/07/22 21:30:00,13.835,12.618,8.031,13.742
12/07/22 21:45:00,13.798,12.515,7.887,13.634
12/07/22 22:00:00,13.759,12.408,7.716,13.517
12/07/22 22:15:00,13.720,12.301,7.552,13.398
12/07/22 22:30:00,13.681,12.192,7.409,13.260
12/07/22 22:45:00,13.642,12.081,7.267,13.150
12/07/22 23:00:00,13.601,11.969,7.127,13.040
12/07/22 23:15:00,13.562,11.859,7.025,12.941
12/07/22 23:30:00,13.521,11.748,7.018,12.886
12/07/22 23:45:00,13.482,11.639,6.887,12.834
12/08/22 00:00:00,13.430,11.519,6.785,12.557
12/08/22 00:15:00,13.385,11.402,6.667,12.553
12/08/22 00:30:00,13.345,11.298,6.588,12.521
12/08/22 00:45:00,13.305,11.196,6.504,12.426
12/08/22 01:00:00,13.264,11.094,6.363,12.311
12/08/22 01:15:00,13.222,10.994,6.209,12.163
12/08/22 01:30:00,13.178,10.896,6.196,12.048
12/08/22 01:45:00,13.138,10.802,6.094,12.006
12/08/22 02:00:00,13.096,10.705,5.990,11.963
12/08/22 02:15:00,13.054,10.611,5.902,11.856
12/08/22 02:30:00,13.011,10.518,5.807,11.749
12/08/22 02:45:00,12.968,10.426,5.590,11.663
12/08/22 03:00:00,12.921,10.331,5.379,11.475
12/08/22 03:15:00,12.874,10.236,5.185,11.306
12/08/22 03:30:00,12.828,10.141,5.032,11.132
12/08/22 03:45:00,12.779,10.043,4.851,11.015
12/08/22 04:00:00,12.730,9.946,4.668,10.876
12/08/22 04:15:00,12.681,9.849,4.571,10.736
12/08/22 04:30:00,12.631,9.751,4.697,10.692
12/08/22 04:45:00,12.586,9.657,4.686,10.698
12/08/22 05:00:00,12.541,9.563,4.675,10.629
12/08/22 05:15:00,12.497,9.472,4.765,10.657
12/08/22 05:30:00,12.455,9.387,4.898,10.724
12/08/22 05:45:00,12.416,9.310,5.053,10.869
12/08/22 06:00:00,12.381,9.240,5.258,11.044
12/08/22 06:15:00,12.351,9.182,5.473,11.206
12/08/22 06:30:00,12.323,9.134,5.699,11.391
