"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486631, LBL: Pared Sur)","Temp, °C (SEN S/N: 20486631, LBL: Psred Oeste)","Temp, °C (SEN S/N: 20486631, LBL: Pared Oeste exterior)","Temp, °C (SEN S/N: 20486631, LBL: Ventana)"
11/08/19 08:15:00,10.748,8.892,9.291,11.977
11/08/19 08:30:00,10.786,8.970,9.501,12.273
11/08/19 08:45:00,10.759,9.009,9.735,12.412
11/08/19 09:00:00,10.794,9.081,10.129,12.951
11/08/19 09:15:00,10.831,9.168,10.450,13.377
11/08/19 09:30:00,10.876,9.274,10.834,13.837
11/08/19 09:45:00,10.933,9.382,11.206,14.213
11/08/19 10:00:00,10.979,9.501,11.425,14.203
11/08/19 10:15:00,11.023,9.618,11.665,14.238
11/08/19 10:30:00,11.056,9.734,11.721,14.081
11/08/19 10:45:00,11.052,9.834,11.450,13.046
11/08/19 11:00:00,11.128,9.978,12.595,15.024
11/08/19 11:15:00,11.272,10.168,13.436,16.827
11/08/19 11:30:00,11.441,10.407,13.967,17.213
11/08/19 11:45:00,11.593,10.632,14.307,17.289
11/08/19 12:00:00,11.637,10.805,14.129,15.757
11/08/19 12:15:00,11.658,10.933,14.243,15.499
11/08/19 12:30:00,11.701,11.076,14.501,15.804
11/08/19 12:45:00,11.736,11.224,14.360,15.330
11/08/19 13:00:00,11.698,11.311,13.676,13.781
11/08/19 13:15:00,11.634,11.387,12.874,12.042
11/08/19 13:30:00,11.573,11.456,12.281,10.913
11/08/19 13:45:00,11.504,11.519,11.759,10.086
11/08/19 14:00:00,11.438,11.560,11.417,9.597
11/08/19 14:15:00,11.396,11.593,11.169,9.427
11/08/19 14:30:00,11.376,11.619,10.966,9.367
11/08/19 14:45:00,11.359,11.631,10.924,9.523
11/08/19 15:00:00,11.355,11.637,10.956,9.972
11/08/19 15:15:00,11.341,11.628,10.768,9.880
11/08/19 15:30:00,11.297,11.595,10.492,9.430
11/08/19 15:45:00,11.300,11.566,10.412,9.506
11/08/19 16:00:00,11.277,11.526,10.259,9.412
11/08/19 16:15:00,11.283,11.488,10.251,9.614
11/08/19 16:30:00,11.286,11.446,10.184,9.638
11/08/19 16:45:00,11.292,11.405,10.175,9.901
