"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486631, LBL: Pared Sur)","Temp, °C (SEN S/N: 20486631, LBL: Psred Oeste)","Temp, °C (SEN S/N: 20486631, LBL: Pared Oeste exterior)","Temp, °C (SEN S/N: 20486631, LBL: Ventana)"
03/04/22 19:30:00,14.050,14.998,12.601,14.241
03/04/22 19:45:00,13.991,14.810,12.494,13.826
03/04/22 20:00:00,13.966,14.702,12.366,13.957
03/04/22 20:15:00,13.978,14.671,12.214,13.760
03/04/22 20:30:00,14.054,14.647,12.056,13.141
03/04/22 20:45:00,14.108,14.598,11.774,13.264
03/04/22 21:00:00,14.140,14.532,11.608,13.308
03/04/22 21:15:00,14.158,14.454,11.352,13.315
03/04/22 21:30:00,14.162,14.363,11.216,13.251
03/04/22 21:45:00,14.159,14.268,11.085,13.224
03/04/22 22:00:00,14.150,14.168,10.905,13.126
03/04/22 22:15:00,14.135,14.065,10.585,12.995
03/04/22 22:30:00,14.111,13.957,10.378,12.763
03/04/22 22:45:00,14.086,13.847,10.254,12.577
03/04/22 23:00:00,14.059,13.735,10.167,12.480
03/04/22 23:15:00,14.030,13.625,10.050,12.393
03/04/22 23:30:00,14.003,13.514,9.952,12.348
03/04/22 23:45:00,13.973,13.403,9.855,12.287
03/05/22 00:00:00,13.942,13.294,9.718,12.230
03/05/22 00:15:00,13.910,13.186,9.543,12.165
03/05/22 00:30:00,13.874,13.078,9.335,12.013
03/05/22 00:45:00,13.838,12.971,9.200,11.889
03/05/22 01:00:00,13.805,12.867,9.231,11.830
03/05/22 01:15:00,13.772,12.764,9.185,11.793
03/05/22 01:30:00,13.741,12.665,9.117,11.790
03/05/22 01:45:00,13.706,12.564,9.089,11.728
03/05/22 02:00:00,13.672,12.465,9.056,11.680
03/05/22 02:15:00,13.635,12.369,8.970,11.648
03/05/22 02:30:00,13.599,12.276,8.937,11.601
03/05/22 02:45:00,13.565,12.187,8.861,11.557
03/05/22 03:00:00,13.529,12.099,8.789,11.485
03/05/22 03:15:00,13.494,12.016,8.747,11.452
03/05/22 03:30:00,13.460,11.934,8.678,11.397
03/05/22 03:45:00,13.424,11.854,8.433,11.297
03/05/22 04:00:00,13.383,11.768,8.120,11.035
03/05/22 04:15:00,13.339,11.680,7.857,10.786
03/05/22 04:30:00,13.296,11.592,7.644,10.545
03/05/22 04:45:00,13.249,11.501,7.454,10.354
03/05/22 05:00:00,13.203,11.406,7.241,10.165
03/05/22 05:15:00,13.290,11.425,7.033,12.665
03/05/22 05:30:00,13.416,11.497,6.922,13.592
03/05/22 05:45:00,13.472,11.508,6.815,13.678
03/05/22 06:00:00,13.508,11.493,6.675,13.816
03/05/22 06:15:00,13.536,11.470,6.679,13.988
03/05/22 06:30:00,13.563,11.446,6.762,14.231
03/05/22 06:45:00,13.592,11.423,6.886,14.566
03/05/22 07:00:00,13.625,11.405,7.034,14.827
03/05/22 07:15:00,13.658,11.391,7.286,15.121
03/05/22 07:30:00,13.693,11.382,7.583,15.320
03/05/22 07:45:00,13.729,11.380,7.804,15.512
03/05/22 08:00:00,13.769,11.417,8.060,15.582
03/05/22 08:15:00,13.660,11.339,8.441,14.918
03/05/22 08:30:00,13.572,11.265,8.885,15.255
03/05/22 08:45:00,13.524,11.250,9.325,15.703
03/05/22 09:00:00,13.515,11.282,9.657,16.079
03/05/22 09:15:00,13.524,11.347,9.743,16.213
03/05/22 09:30:00,13.427,11.272,9.569,15.130
03/05/22 09:45:00,13.336,11.178,9.626,14.277
03/05/22 10:00:00,13.245,11.108,9.917,13.837
03/05/22 10:15:00,13.213,11.155,10.288,14.517
03/05/22 10:30:00,13.222,11.242,10.931,15.340
03/05/22 10:45:00,13.263,11.373,11.178,15.810
03/05/22 11:00:00,13.336,11.516,11.715,16.524
03/05/22 11:15:00,13.245,11.605,11.804,16.070
03/05/22 11:30:00,13.060,11.634,12.279,15.757
03/05/22 11:45:00,13.037,11.737,12.316,15.863
03/05/22 12:00:00,13.044,11.836,12.675,16.375
03/05/22 12:15:00,13.093,11.931,12.571,15.163
03/05/22 12:30:00,13.296,12.080,12.560,13.472
03/05/22 12:45:00,13.404,12.228,12.808,13.023
03/05/22 13:00:00,13.605,12.438,13.391,16.685
03/05/22 13:15:00,13.843,12.739,13.637,18.656
03/05/22 13:30:00,14.023,12.978,13.180,19.392
03/05/22 13:45:00,14.179,13.138,12.366,19.546
03/05/22 14:00:00,14.381,13.297,12.361,19.667
03/05/22 14:15:00,14.559,13.476,14.116,19.630
03/05/22 14:30:00,14.707,13.655,17.113,20.202
03/05/22 14:45:00,14.889,13.871,19.496,21.981
03/05/22 15:00:00,15.063,14.077,20.829,24.164
03/05/22 15:15:00,15.237,14.282,22.076,25.312
03/05/22 15:30:00,15.427,14.524,22.476,25.758
03/05/22 15:45:00,15.542,14.749,20.698,24.534
03/05/22 16:00:00,15.569,14.946,19.413,22.730
03/05/22 16:15:00,15.566,15.136,17.851,20.764
03/05/22 16:30:00,15.523,15.312,16.702,19.155
03/05/22 16:45:00,15.467,15.466,15.794,17.993
03/05/22 17:00:00,15.406,15.588,15.164,17.147
03/05/22 17:15:00,15.314,15.664,14.744,16.570
03/05/22 17:30:00,15.267,15.721,14.342,16.295
03/05/22 17:45:00,15.215,15.745,13.873,16.004
03/05/22 18:00:00,15.164,15.737,13.509,15.758
03/05/22 18:15:00,15.113,15.706,13.219,15.525
03/05/22 18:30:00,15.066,15.655,12.972,15.300
03/05/22 18:45:00,15.021,15.588,12.788,15.139
03/05/22 19:00:00,14.979,15.509,12.499,15.009
03/05/22 19:15:00,14.936,15.418,12.279,14.810
03/05/22 19:30:00,14.894,15.318,12.155,14.653
03/05/22 19:45:00,14.853,15.212,11.957,14.535
03/05/22 20:00:00,14.762,15.078,11.907,13.894
03/05/22 20:15:00,14.625,14.892,11.809,13.404
03/05/22 20:30:00,14.508,14.716,11.721,13.132
03/05/22 20:45:00,14.442,14.572,11.611,13.029
03/05/22 21:00:00,14.385,14.441,11.532,12.960
03/05/22 21:15:00,14.330,14.312,11.438,12.918
03/05/22 21:30:00,14.279,14.189,11.309,12.844
03/05/22 21:45:00,14.226,14.068,11.181,12.781
03/05/22 22:00:00,14.177,13.949,11.107,12.687
03/05/22 22:15:00,14.129,13.835,11.033,12.633
03/05/22 22:30:00,14.083,13.726,10.940,12.588
03/05/22 22:45:00,14.036,13.619,10.783,12.542
03/05/22 23:00:00,13.990,13.509,10.721,12.419
03/05/22 23:15:00,13.946,13.409,10.544,12.283
03/05/22 23:30:00,13.900,13.309,10.400,12.072
03/05/22 23:45:00,13.855,13.210,10.257,11.910
03/06/22 00:00:00,13.810,13.112,10.233,11.831
03/06/22 00:15:00,13.766,13.017,10.144,11.800
03/06/22 00:30:00,13.723,12.922,9.995,11.722
03/06/22 00:45:00,13.678,12.828,9.894,11.631
03/06/22 01:00:00,13.635,12.736,9.755,11.505
03/06/22 01:15:00,13.586,12.642,9.466,11.335
03/06/22 01:30:00,13.532,12.542,9.386,11.094
03/06/22 01:45:00,13.481,12.444,9.254,10.940
03/06/22 02:00:00,13.433,12.349,9.196,10.860
03/06/22 02:15:00,13.386,12.257,9.186,10.838
03/06/22 02:30:00,13.339,12.166,9.117,10.843
03/06/22 02:45:00,13.294,12.074,9.047,10.858
03/06/22 03:00:00,13.248,11.984,8.998,10.844
03/06/22 03:15:00,13.203,11.898,8.950,10.823
03/06/22 03:30:00,13.159,11.812,8.789,10.806
03/06/22 03:45:00,13.109,11.725,8.475,10.699
03/06/22 04:00:00,13.051,11.633,8.263,10.502
03/06/22 04:15:00,12.992,11.538,7.956,10.262
03/06/22 04:30:00,12.925,11.437,7.727,10.000
03/06/22 04:45:00,12.862,11.333,7.445,9.735
03/06/22 05:00:00,12.800,11.228,7.207,9.538
03/06/22 05:15:00,12.818,11.215,6.965,12.217
03/06/22 05:30:00,12.843,11.224,6.759,12.815
03/06/22 05:45:00,12.828,11.174,6.536,12.898
03/06/22 06:00:00,12.812,11.113,6.425,12.945
03/06/22 06:15:00,12.803,11.052,6.368,13.049
03/06/22 06:30:00,12.787,10.983,6.318,13.048
03/06/22 06:45:00,12.781,10.918,6.455,13.213
03/06/22 07:00:00,12.820,10.875,6.739,13.685
03/06/22 07:15:00,12.873,10.843,7.092,14.186
03/06/22 07:30:00,12.930,10.823,7.432,14.694
03/06/22 07:45:00,12.989,10.814,7.777,15.214
03/06/22 08:00:00,13.004,10.809,8.074,15.163
03/06/22 08:15:00,13.037,10.814,8.417,15.363
03/06/22 08:30:00,13.097,10.852,8.773,15.642
03/06/22 08:45:00,13.186,10.922,9.199,16.156
03/06/22 09:00:00,13.332,11.029,9.624,16.857
03/06/22 09:15:00,13.460,11.155,10.040,17.339
03/06/22 09:30:00,13.608,11.298,10.490,18.007
03/06/22 09:45:00,13.801,11.487,10.974,18.423
03/06/22 10:00:00,14.002,11.707,11.479,19.530
