Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 01/01  01:00:00,1.4124999999999999,3.60330167873757,0.9256727480934823,12.300050149289812,0.6333929300218746,0.0,0.0,1148676.6009045758,0.0 
 01/01  02:00:00,1.9,3.8536036065105314,1.5091901559436143,12.300000006859796,1.2356901667646408,0.0,0.0,1126065.06115705,0.0 
 01/01  03:00:00,1.7125,3.7774142543810886,1.3247793058476514,12.30000000000015,1.0600202877739789,0.0,0.0,1159715.6825148422,0.0 
 01/01  04:00:00,1.0375,3.2331264741161949,0.6256986850757533,12.3,0.36323388640161549,0.0,0.0,1209701.8677645783,0.0 
 01/01  05:00:00,0.7625,2.8967877741220344,0.12783475865434128,12.300000000000067,-0.12400039063554833,0.0,0.0,1276449.8121581525,0.0 
 01/01  06:00:00,0.55,8.387519445129822,5.816142410536797,12.29983110752426,6.273469304708129,0.0,0.0,1144898.3316600898,0.0 
 01/01  07:00:00,2.4625000000000005,19.6013201250109,16.224025945909149,12.299264949350384,18.07345844182668,0.0,0.0,658582.1834462315,0.0 
 01/01  08:00:00,5.575,27.516285937678405,25.24944393409827,12.299035860150334,27.800554892810309,0.0,0.0,241847.34877649253,0.0 
 01/01  09:00:00,8.2625,34.29567802062746,34.004542688896069,12.298693162478309,36.778871457793929,0.0,0.0,0.0,0.0 
 01/01  10:00:00,10.200000000000001,37.40434929969723,39.6113294283827,12.297724407178702,41.51016715837087,0.0,0.0,0.0,0.0 
 01/01  11:00:00,11.3,36.950504059900527,40.7480090456204,12.301140016538005,41.46801470057795,0.0,0.0,0.0,0.0 
