Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,1.4124999999999999,2.2326310194838414,0.6433654054389493,8.11553022115935,0.3433085920734994 
 01/01  02:00:00,1.9,2.4513484429066416,1.2292490691078367,8.102664746396158,0.9475208198164465 
 01/01  03:00:00,1.7125,2.322928422536272,1.028727936567436,7.992431616121992,0.7565371643383311 
 01/01  04:00:00,1.0375,1.7071001677766092,0.299184738134489,7.826642075547255,0.02986043103937184 
 01/01  05:00:00,0.7625,1.2959591694761815,-0.2164962807449773,7.620957549517128,-0.47508915700135548 
 01/01  06:00:00,0.55,7.053643525629936,5.392531283833037,7.7590261091463,5.964802264434063 
 01/01  07:00:00,2.4625000000000005,18.648462018736873,15.957734083187284,8.846910967016264,17.81850919251409 
 01/01  08:00:00,5.575,26.808764040881149,25.075253527148804,10.224109004607154,27.590575334537819 
 01/01  09:00:00,8.2625,33.99141201880338,33.854583907276197,11.799779862794403,36.624561678679658 
 01/01  10:00:00,10.200000000000001,37.55650300573908,39.53421795696024,13.351492565267656,41.42787431301048 
 01/01  11:00:00,11.3,37.448281591870628,40.740805207303569,14.390037174021533,41.46214798288654 
 01/01  12:00:00,12.1625,35.14057680939449,38.92920678329722,14.65467169577248,38.93837712180853 
 01/01  13:00:00,12.749999999999999,28.11438333572345,30.437148007169485,13.77243673675739,30.249587479262489 
 01/01  14:00:00,13.087499999999999,18.351841546151119,19.612420333969728,12.214094956052165,19.409368346302306 
 01/01  15:00:00,9.1375,13.124394473907508,14.342120851090709,10.899776418010762,14.139422355249497 
 01/01  16:00:00,5.887500000000001,9.461460974299693,9.477670245814418,9.733366970730457,9.25273343505281 
 01/01  17:00:00,4.025,7.62385968717202,7.546805244946668,9.622360466785631,7.287865679215611 
 01/01  18:00:00,2.3875,4.473370305415277,4.142345565332698,9.289424297129397,3.842608758332662 
 01/01  19:00:00,2.4000000000000005,3.248890058460315,2.452032582907527,8.914092058529242,2.131988437677904 
 01/01  20:00:00,2.575,3.3396934777986049,2.393159043225343,8.754834697653357,2.072682282472778 
 01/01  21:00:00,2.375,2.9989560892818085,2.030005930772074,8.655646541803382,1.7067528068886156 
 01/01  22:00:00,1.8625000000000003,2.4711670673593408,1.4259903881946672,8.561466985225824,1.097940035081687 
 01/01  23:00:00,1.4125,2.080204179366551,0.8166368789014924,8.409017492315908,0.48890579123452307 
 01/01  24:00:00,0.8625,1.8017457694364668,0.4452104137360019,8.255199799291033,0.12874119762797557 
 01/02  01:00:00,0.35,1.5152682183403559,0.04193369099648257,8.08253861374319,-0.2615437760597279 
 01/02  02:00:00,0.1375,1.3985608981804623,-0.21215543356200215,7.895396781632151,-0.5020854971635623 
 01/02  03:00:00,0.0375,1.125677304398078,-0.4562950309234377,7.759658479743139,-0.7352953950053495 
 01/02  04:00:00,-0.125,0.8530719585751254,-0.8098201195890783,7.589064330550467,-1.079969243322823 
 01/02  05:00:00,-0.7625000000000001,0.4744204594736813,-1.273171156169064,7.391317837439271,-1.5315654768465104 
 01/02  06:00:00,-0.975,6.4604291748149909,4.764512540889024,7.572910828188896,5.217410886156853 
 01/02  07:00:00,0.16250000000000004,16.944410349999815,14.01435831998111,8.45139243209272,15.781955683617804 
 01/02  08:00:00,2.9250000000000004,23.759971504363017,20.87486081489416,9.585273919302445,23.313505960576486 
 01/02  09:00:00,6.324999999999999,31.28127309049828,30.039082532338634,11.132532368407368,32.752411554821367 
 01/02  10:00:00,9.0375,35.747945151705987,36.79796408878542,12.779985242922268,38.82495977626537 
 01/02  11:00:00,10.5875,37.05074466932441,40.205564485611407,14.122746596334317,40.96652061048025 
 01/02  12:00:00,12.000000000000002,36.77941909300712,41.328505049846658,14.982710842148624,41.35162112674895 
 01/02  13:00:00,13.599999999999998,35.438165536389437,39.12241125420097,15.170301888767414,38.68327094720989 
 01/02  14:00:00,14.575,26.236583291331895,28.025476671484058,13.832938936060615,27.614835945877667 
 01/02  15:00:00,12.8,19.950304989117073,22.65647398377415,12.533170065597205,22.03671806778573 
 01/02  16:00:00,10.099999999999998,14.73727304029773,16.960459612792158,11.420022000958135,16.598954298868976 
 01/02  17:00:00,8.1375,11.457818302765297,11.800233651449738,10.64146969367466,11.523005197648459 
 01/02  18:00:00,6.125000000000001,7.4721192327486689,7.547366318353519,10.026321456953442,7.267701241965465 
 01/02  19:00:00,5.362500000000001,5.554393816000189,5.42698146272287,9.616373218393762,5.123412429193973 
 01/02  20:00:00,4.525,4.741355197209916,4.4083110514859549,9.33648477046303,4.095577866426697 
 01/02  21:00:00,3.5,4.272363226055618,3.6923231472323065,9.098511485299861,3.392154663460297 
 01/02  22:00:00,2.7625,3.5099681457787135,2.734055605861286,8.92815406362853,2.4330009464358857 
 01/02  23:00:00,2.0,2.7661453826149686,1.8157142522280139,8.761674116479267,1.5161621599389608 
 01/02  24:00:00,1.3249999999999998,2.4203960308930174,1.1552116121764425,8.546351293627869,0.8672437083050943 
 01/03  01:00:00,0.9125000000000001,2.1242547047331277,0.6589945043176241,8.352633060669021,0.38492522357922157 
 01/03  02:00:00,0.05000000000000002,1.395210973556313,-0.11544365637139576,8.194838945449739,-0.38111194439476528 
 01/03  03:00:00,-0.4625,0.8924173105886344,-0.7970292463642645,7.990180833230946,-1.0501164862324362 
 01/03  04:00:00,-0.8750000000000001,0.4680348094814791,-1.309250103263258,7.803279499296588,-1.550990107764747 
 01/03  05:00:00,-1.6625,-0.02941510272405029,-1.9842573363668064,7.561729104298369,-2.2145481225226755 
 01/03  06:00:00,-2.375,5.632765262950665,3.7467819014884995,7.63567450141714,4.298875241552436 
 01/03  07:00:00,-2.1625,16.441467316374707,13.55905368255646,8.525832644947169,15.458801258774976 
 01/03  08:00:00,-0.525,23.937981191154149,21.850813967834797,9.713317001234686,24.37870373190118 
 01/03  09:00:00,3.55,31.983380620675236,31.804055003111928,11.442705897118002,34.40209323740994 
 01/03  10:00:00,7.812499999999999,36.75050262300353,38.6423872201547,13.157389255295924,40.78719987904686 
 01/03  11:00:00,10.6375,36.007345072113718,39.03923330790015,14.296794968409117,40.01483724456968 
 01/03  12:00:00,12.3125,34.23666198038271,37.20833240407869,14.876105799747183,37.26928393338851 
 01/03  13:00:00,13.05,32.45647963297449,34.86177747682444,14.662350185212091,34.54924118638142 
 01/03  14:00:00,13.0125,32.85887971582651,35.82214507664993,14.500417032618929,34.47465569070036 
 01/03  15:00:00,12.462499999999999,29.614110695446337,34.206304660051248,13.823922762356217,31.45626755640729 
 01/03  16:00:00,12.2,22.219559085423037,28.25081090073693,12.857724106738687,25.07739467440012 
 01/03  17:00:00,10.95,14.794236734375705,18.05528201230416,11.723262552735048,16.426474802069288 
 01/03  18:00:00,8.450000000000001,10.228384515470055,10.382753913757732,10.506512771179878,9.865394844545453 
 01/03  19:00:00,4.9625,7.777239329325661,6.678080212298285,9.526528684339546,6.313241093389289 
 01/03  20:00:00,2.3125,6.235516006632974,4.066689484445655,8.645367016607029,3.7282575799441064 
 01/03  21:00:00,0.9125,4.909940428596816,2.534951538351571,8.324918264037006,2.2151603615773927 
 01/03  22:00:00,1.3877787807814458e-17,3.8610985007924505,1.2614814714027097,8.275772430005475,0.9448112452556439 
 01/03  23:00:00,-0.8,2.968834388977725,0.39085378344506085,8.160669646659262,0.08969574975676366 
 01/03  24:00:00,-1.225,1.9373378141575773,-0.3717387098049153,8.185520575843038,-0.6609001938435215 
 01/04  01:00:00,-1.1750000000000003,1.2790936250062526,-0.7206181037071323,8.194838896911263,-0.9962793730615454 
 01/04  02:00:00,-1.725,0.5213661580249711,-1.2655379905765028,8.17302958606751,-1.5330854289318668 
 01/04  03:00:00,-2.8499999999999998,-0.10644402546585058,-2.1125101963965244,7.9404176043063059,-2.3683855847937655 
 01/04  04:00:00,-3.4875,-0.6888560937976531,-2.83706743250145,7.689023856337594,-3.0798933074411347 
 01/04  05:00:00,-4.2875000000000009,-1.239760401781122,-3.5424881484372339,7.42126514316723,-3.7759857828069069 
